34	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-102	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-15	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
37	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-102	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-16	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-17	-17	-17	-17	36	36	36	36	36	36	36	36	36	36	36	36	36	36	-17	36	35	36	-17	36	-17	-17	-102	36	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	38	-18	-18	-18	-18	-18	-102	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-18	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	40	-19	39	-19	-19	-102	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-19	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-102	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	41	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-102	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	42	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-21	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	44	-22	-22	-22	-102	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	43	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-22	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-102	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	-23	45	-23	-23	-23	-23	-23	-23	-23	-23	-23	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-102	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	46	-24	-24	-24	-24	-24	-24	-24	-24	-24	-24	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-102	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	-25	47	-25	-25	-25	-25	-25	-25	-25	-25	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	49	-26	-26	-26	48	-26	-26	-102	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-26	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
